PID,i_lum_F1_indiv,i_lum_k12(KA),i_lum_k23(Q/V),i_lum_k32(Q/VP),i_lum_k20(CL/V),total_mg_dose_per_occassion,DS,Q,V,CL,VP
158,0.176979,0.0386,0.0875768,0.00590206,0.343688,480,0.24338,0.33164,,3.78684,1.30149,56.1905
159,0.601339,0.0386,0.0294154,0.00590206,0.115438,480,0.24338,0.33164,,11.2743,1.30149,56.1905
160,0.469115,0.0386,0.0130448,0.00590206,0.0511932,480,0.24338,0.33164,,25.4231,1.30149,56.1905
161,0.267839,0.0386,0.101806,0.00590206,0.39953,480,0.24338,0.33164,,3.25756,1.30149,56.1905
162,0.196972,0.0386,0.0324307,0.00590206,0.127272,480,0.24338,0.33164,,10.2261,1.30149,56.1905
163,0.381644,0.0386,0.0293781,0.00590206,0.115292,480,0.24338,0.33164,,11.2887,1.30149,56.1905
164,0.297435,0.0386,0.0615753,0.00590206,0.241647,480,0.24338,0.33164,,5.38592,1.30149,56.1905
165,0.103815,0.0386,0.0015242,0.00590206,0.0059816,480,0.24338,0.33164,,217.583,1.30149,56.1905
166,0.256709,0.0386,0.025191,0.00590206,0.0988602,480,0.24338,0.33164,,13.165,1.30149,56.1905
167,0.170889,0.0386,0.0103581,0.00590206,0.0406495,480,0.24338,0.33164,,32.0175,1.30149,56.1905
168,0.111547,0.0386,0.0237844,0.00590206,0.0933399,480,0.24338,0.33164,,13.9436,1.30149,56.1905
169,0.335157,0.0386,0.0163633,0.00590206,0.0642165,480,0.24338,0.33164,,20.2673,1.30149,56.1905
170,0.118416,0.0386,0.0837729,0.00590206,0.32876,480,0.24338,0.33164,,3.95879,1.30149,56.1905
171,0.149162,0.0386,0.0301803,0.00590206,0.11844,480,0.24338,0.33164,,10.9886,1.30149,56.1905
172,0.191542,0.0386,0.0377055,0.00590206,0.147972,480,0.24338,0.33164,,8.79552,1.30149,56.1905
173,0.235817,0.0386,0.020198,0.00590206,0.0792654,480,0.24338,0.33164,,16.4194,1.30149,56.1905
174,0.137077,0.0386,0.0273919,0.00590206,0.107497,480,0.24338,0.33164,,12.1072,1.30149,56.1905
175,0.0295906,0.0386,0.00456167,0.00590206,0.0179019,480,0.24338,0.33164,,72.7013,1.30149,56.1905
176,0.306885,0.0386,0.0301393,0.00590206,0.118279,480,0.24338,0.33164,,11.0036,1.30149,56.1905
177,0.181743,0.0386,0.0108135,0.00590206,0.0424367,480,0.24338,0.33164,,30.6691,1.30149,56.1905
178,0.141603,0.0386,0.00543053,0.00590206,0.0213117,480,0.24338,0.33164,,61.0695,1.30149,56.1905
